"family","genus"
"Lauraceae","Phyllostemonodaphne"
"Lauraceae","Pleurothyrium"
"Lauraceae","Potameia"
"Lauraceae","Potoxylon"
"Lauraceae","Rhodostemonodaphne"
"Lauraceae","Sassafras"
"Lauraceae","Sextonia"
"Lauraceae","Syndiclis"
"Lauraceae","Triadodaphne"
"Lauraceae","Umbellularia"
"Lauraceae","Urbanodendron"
"Lauraceae","Williamodendron"
"Chloranthaceae","Ascarina"
"Chloranthaceae","Chloranthus"
"Chloranthaceae","Hedyosmum"
"Chloranthaceae","Sarcandra"
"Acoraceae","Acorus"
"Araceae","Adelonema"
"Araceae","Aglaodorum"
"Araceae","Aglaonema"
"Araceae","Alloschemone"
"Araceae","Alocasia"
"Araceae","Ambrosina"
"Araceae","Amorphophallus"
"Araceae","Amydrium"
"Araceae","Anadendrum"
"Araceae","Anaphyllopsis"
"Araceae","Anaphyllum"
"Araceae","Anchomanes"
"Araceae","Anthurium"
"Araceae","Anubias"
"Araceae","Apoballis"
"Araceae","Aridarum"
"Araceae","Ariopsis"
"Araceae","Arisaema"
"Araceae","Arisarum"
"Araceae","Arophyton"
"Araceae","Arum"
"Araceae","Asterostigma"
"Araceae","Biarum"
"Araceae","Bognera"
"Araceae","Bucephalandra"
"Araceae","Caladium"
"Araceae","Calla"
"Araceae","Callopsis"
"Araceae","Carlephyton"
"Araceae","Cercestis"
"Araceae","Chlorospatha"
"Araceae","Colletogyne"
"Araceae","Colocasia"
"Araceae","Croatiella"
"Araceae","Cryptocoryne"
"Araceae","Culcasia"
"Araceae","Cyrtosperma"
"Araceae","Dieffenbachia"
"Araceae","Dracontioides"
"Araceae","Dracontium"
"Araceae","Dracunculus"
"Araceae","Eminium"
"Araceae","Englerarum"
"Araceae","Epipremnum"
"Araceae","Filarum"
"Araceae","Furtadoa"
"Araceae","Gearum"
"Araceae","Gonatopus"
"Araceae","Gorgonidium"
"Araceae","Gymnostachys"
"Araceae","Hapaline"
"Araceae","Helicodiceros"
"Araceae","Hestia"
"Araceae","Heteropsis"
"Araceae","Holochlamys"
"Araceae","Homalomena"
"Araceae","Incarum"
"Araceae","Jasarum"
"Araceae","Lagenandra"
"Araceae","Landoltia"
"Araceae","Lasia"
"Araceae","Lasimorpha"
"Araceae","Lemna"
"Araceae","Leucocasia"
"Araceae","Lorenzia"
"Araceae","Lysichiton"
"Araceae","Mangonia"
"Araceae","Monstera"
"Araceae","Montrichardia"
"Araceae","Nephthytis"
"Araceae","Orontium"
"Araceae","Pedicellarum"
"Araceae","Peltandra"
"Araceae","Philodendron"
"Araceae","Philonotion"
"Araceae","Phymatarum"
"Araceae","Pichinia"
"Araceae","Pinellia"
"Araceae","Piptospatha"
"Araceae","Pistia"
"Araceae","Podolasia"
"Araceae","Pothoidium"
"Araceae","Pothos"
"Araceae","Protarum"
"Araceae","Pseudodracontium"
"Araceae","Pseudohydrosme"
"Araceae","Pycnospatha"
"Araceae","Remusatia"
"Araceae","Rhaphidophora"
"Araceae","Rhodospatha"
"Araceae","Scaphispatha"
"Araceae","Schismatoglottis"
"Araceae","Schottarum"
"Araceae","Scindapsus"
"Araceae","Spathantheum"
"Araceae","Spathicarpa"
"Araceae","Spathiphyllum"
"Araceae","Spirodela"
"Araceae","Stenospermation"
"Araceae","Steudnera"
"Araceae","Stylochaeton"
"Araceae","Symplocarpus"
"Araceae","Synandrospadix"
"Araceae","Syngonium"
"Araceae","Taccarum"
"Araceae","Theriophonum"
"Araceae","Typhonium"
"Araceae","Typhonodorum"
"Araceae","Ulearum"
"Araceae","Urospatha"
"Araceae","Wolffia"
"Araceae","Wolffiella"
"Araceae","Xanthosoma"
"Araceae","Zamioculcas"
"Araceae","Zantedeschia"
"Araceae","Zomicarpa"
"Araceae","Zomicarpella"
"Tofieldiaceae","Harperocallis"
"Tofieldiaceae","Isidrogalvia"
"Tofieldiaceae","Pleea"
"Tofieldiaceae","Tofieldia"
"Tofieldiaceae","Triantha"
"Alismataceae","Albidella"
"Alismataceae","Alisma"
