accsym,syn,sym,taxon
ASHY2,,ASHY2,Astragalus hyalinus
ASAG2,ASHY7,ASHY7,Astragalus hypoglottis
ASHY3,,ASHY3,Astragalus hypoxylus
ASLEI,ASID,ASID,Astragalus idriensis
ASKEE,ASIM,ASIM,Astragalus impensis
ASIN29,,ASIN29,Astragalus incanus
ASINM,,ASINM,Astragalus incanus ssp. macrorhizus
ASPUP7,ASIN25,ASIN25,Astragalus incurvus
ASLEI2,ASIN24,ASIN24,Astragalus ineptus
ASIN20,,ASIN20,Astragalus inflatus
ASIN5,,ASIN5,Astragalus inflexus
ASIN6,,ASIN6,Astragalus insularis
ASINH,,ASINH,Astragalus insularis var. harwoodii
ASCA49,ASIN26,ASIN26,Astragalus interpositus
ASIN7,,ASIN7,Astragalus inversus
ASIN8,,ASIN8,Astragalus inyoensis
ASIO,,ASIO,Astragalus iodanthus
ASIOD,,ASIOD,Astragalus iodanthus var. diaphanoides
ASIOI,,ASIOI,Astragalus iodanthus var. iodanthus
ASPS,ASIOP,ASIOP,Astragalus iodanthus var. pseudiodanthus
ASIOD,ASIOV,ASIOV,Astragalus iodanthus var. vipereus
ASIO2,,ASIO2,Astragalus iodopetalus
ASIS,,ASIS,Astragalus iselyi
ASJA,,ASJA,Astragalus jaegerianus
ASJE2,,ASJE2,Astragalus jejunus
ASJEA,,ASJEA,Astragalus jejunus var. articulatus
ASJEJ,,ASJEJ,Astragalus jejunus var. jejunus
ASKEJ,ASJE3,ASJE3,Astragalus jessiae
ASROJ,ASJE4,ASJE4,Astragalus jesupii
ASJO,,ASJO,Astragalus johannis-howellii
ASPUL2,ASJO4,ASJO4,Astragalus jonesii
ASCOC9,ASJU4,ASJU4,Astragalus junciformis
ASEPE,ASKA2,ASKA2,Astragalus kaibensis
ASKE6,,ASKE6,Astragalus kelseyae
ASKE,,ASKE,Astragalus kentrophyta
ASKEC,ASKEC2,ASKEC2,Astragalus kentrophyta ssp. coloradoensis
ASKED,ASKED3,ASKED3,Astragalus kentrophyta ssp. danaus
ASKED2,ASKED4,ASKED4,Astragalus kentrophyta ssp. douglasii
ASKEE,ASKEE2,ASKEE2,Astragalus kentrophyta ssp. elatus
