"taxon","auth","gbif","usda"
"Limnoraphis robusta","(Parakutty) Komárek et al.","Limnoraphis robusta",
"Lyngbya aestuarii","Liebm. ex Gomont","Lyngbya aestuarii",
"Lyngbya birgei","G.M.Smith","Lyngbya birgei",
"Lyngbya confervoides","C.Agardh ex Gomont","Lyngbya confervoides",
"Lyngbya drouetii","J.de Toni, 1939","Lyngbya drouetii",
"Lyngbya fulva","Harvey","Lyngbya fulva",
"Lyngbya gracilis","Rabenh.","Lyngbya gracilis",
"Lyngbya meneghiniana","Gomont","Lyngbya gracilis",
"Lyngbya guaymensis","Drouet, 1942","Lyngbya guaymensis",
"Lyngbya latissima","Prescott, 1944","Lyngbya latissima",
"Lyngbya lutea","Gomont ex Gomont","Lyngbya lutea",
"Oscillatoria lutea","C.Agardh","Lyngbya lutea",
"Porphyrosiphon luteus","(Gomont ex Gomont) Anagn. & Komárek","Lyngbya lutea",
"Lyngbya luteofusca","(C.Agardh) J.Agardh ex Gomont, 1892","Lyngbya luteofusca",
"Lyngbya major","Meneghini ex Gomont","Lyngbya major",
"Lyngbya majuscula","Harv. ex Gomont","Lyngbya majuscula",
"Lyngbya martensiana","Menegh. ex Gomont","Lyngbya martensiana",
"Porphyrosiphon martensianus","(Menegh. ex Gomont) Anagn. & Komárek","Lyngbya martensiana",
