"taxon","auth","gbif","usda"
"Vestergrenopsis isidiata","(Degel.) E.Dahl","Tingiopsidium isidiatum","Vestergrenopsis isidiata"
"Koerberia sonomensis","(Tuck.) Henssen","Tingiopsidium sonomense","Koerberia sonomensis"
"Tingiopsidium sonomense","(Tuck.) Hafellner & T.Sprib.","Tingiopsidium sonomense",
"Cyanisticta obvoluta","(Ach.) C.W.Dodge","Cyanisticta obvoluta",
"Dendriscosticta gelida","Ant.Simon, Goward & T.Sprib.","Dendriscosticta gelida",
"Dendriscosticta oroborealis","(Goward & Tønsberg) B.Moncada & Lücking","Dendriscosticta oroborealis",
"Sticta oroborealis","Goward & Tønsberg","Dendriscosticta oroborealis",
"Dendriscosticta wrightii","(Tuck.) B.Moncada & Lücking","Dendriscosticta wrightii",
"Sticta wrightii","Tuck.","Dendriscosticta wrightii","Sticta wrightii"
"Emmanuelia conformis","(Vain.) Lücking, B.Moncada & Ant.Simon","Emmanuelia conformis",
"Lobaria conformis","Vain.","Emmanuelia conformis",
"Emmanuelia erosa","(Eschw.) Lücking, M.Cáceres & Ant.Simon","Emmanuelia erosa",
"Lobaria erosa","(Eschw.) Trevis.","Emmanuelia erosa",
"Emmanuelia lobulifera","(B.J.Moore) Ant.Simon & Goffinet","Emmanuelia lobulifera",
"Lobaria lobulifera","B.J.Moore","Emmanuelia lobulifera",
"Emmanuelia ornata","(Malme) Lücking, B.Moncada & Bungartz","Emmanuelia ornata",
"Lobaria ornata","Malme","Emmanuelia ornata",
"Emmanuelia patinifera","(Taylor) Lücking, M.Cáceres & Ant.Simon","Emmanuelia patinifera",
"Emmanuelia pseudolivacea","(Zahlbr.) Lücking, B.Moncada & Ant.Simon","Emmanuelia pseudolivacea",
"Emmanuelia ravenelii","(Tuck.) Ant.Simon & Goffinet","Emmanuelia ravenelii",
"Lobaria ravenelii","(Tuck.) Yoshim.","Emmanuelia ravenelii","Lobaria ravenelii"
"Emmanuelia tenuis","(Vain.) Lücking, B.Moncada & Gumboski","Emmanuelia tenuis",
"Lobaria tenuis","Vain.","Emmanuelia tenuis","Lobaria tenuis"
"Lobaria anomala","(Brodo & Ahti) T.Sprib. & McCune","Lobaria anomala",
"Pseudocyphellaria anomala","Brodo & Ahti","Lobaria anomala","Pseudocyphellaria anomala"
"Sticta limbata var. anomala","Merrill","Lobaria anomala",
"Cyanisticta anthraspis","(Ach.) Gyeln.","Lobaria anthraspis",
"Lobaria anthraspis","(Ach.) T.Sprib. & McCune","Lobaria anthraspis",
"Pseudocyphellaria anthraspis","(Ach.) H.Magn.","Lobaria anthraspis","Pseudocyphellaria anthraspis"
"Sticta anthraspis","Ach.","Lobaria anthraspis","Pseudocyphellaria anthraspis"
"Stictina anthraspis","(Ach.) Nyl.","Lobaria anthraspis",
"Lobaria hallii","(Tuck.) Zahlbr.","Lobaria hallii","Lobaria hallii"
"Rinodina hallii","Tuck.","Lobaria hallii","Rinodina hallii"
"Sticta hallii","Tuck.","Lobaria hallii","Lobaria hallii"
"Lobaria kurokawae","Yoshim.","Lobaria kurokawae","Lobaria kurokawae"
"Lobaria linita","(Ach.) Rabenh.","Lobaria linita","Lobaria linita"
"Lobaria linita var. linita","","Lobaria linita",
"Lobaria meridionalis","Vain.","Lobaria meridionalis",
"Lobaria oregana","(Tuck.) Müll.Arg.","Lobaria oregana","Lobaria oregana"
"Sticta oregana","Tuck.","Lobaria oregana","Lobaria oregana"
"Lobaria patinifera","(Taylor) Müll.Arg.","Lobaria patinifera",
"Lobaria pseudopulmonaria","Gyelnik","Lobaria pseudopulmonaria","Lobaria pseudopulmonaria"
"Lobaria pulmonaria","(L.) Hoffm.","Lobaria pulmonaria","Lobaria pulmonaria"
"Sticta pulmonaria","(L.) Biroli","Lobaria pulmonaria","Lobaria pulmonaria"
"Lobaria retigera","(Bory) Trevis.","Lobaria retigera","Lobaria retigera"
"Lobaria scorbiculata","(Scop.) DC.","Lobaria scorbiculata",
"Lobaria silvae-veteris","(Goward & Goffinet) Goward & Goffinet","Lobaria silvae-veteris",
"Nephroma silvae-veteris","Goward & Goffinet","Lobaria silvae-veteris","Nephroma silvae-veteris"
"Lobaria sublatypea","","Lobaria sublatypea",
"Lobaria subscrobiculata","Vain","Lobaria subscrobiculata",
"Lobaria yoshimurae","Kurok. & Kashiw.","Lobaria yoshimurae",
"Lobaria crenulata","(Hook.) Trevis.","Lobariella crenulata",
"Lobariella crenulata","(Hook.) Yoshim.","Lobariella crenulata",
"Lobaria exornata","(Zahlbr.) Yoshim.","Lobariella exornata",
"Lobariella exornata","(Zahlbr.) Yoshim.","Lobariella exornata",
"Lobariella flynniana","Lücking, B.Moncada & C.W.Sm.","Lobariella flynniana",
"Lobaria pallida","(Hook.) Trevis.","Lobariella pallida",
"Lobariella pallida","(Hook.) B.Moncada & Lücking","Lobariella pallida",
"Lobariella sandwicensis","Lücking, B.Moncada & C.W.Sm.","Lobariella sandwicensis",
"Lobaria subexornata","Yoshim.","Lobariella subexornata",
"Lobariella subexornata","(Yoshim.) Yoshim.","Lobariella subexornata",
"Lobaria scrobiculata","(Scop.) DC.","Lobarina scrobiculata","Lobaria scrobiculata"
"Lobaria verrucosa","(Huds.) Hoffm.","Lobarina scrobiculata",
"Lobarina scrobiculata","(Scop.) Nyl. ex Cromb.","Lobarina scrobiculata",
"Sticta scrobiculata","(Scop.) Ach.","Lobarina scrobiculata",
"Sticta verrucosa","(Huds.) Fink","Lobarina scrobiculata","Lobaria scrobiculata"
"Podostictina cliffordiana","B.Moncada, Reidy & Lücking","Podostictina cliffordiana",
"Podostictina encoensis","(R.Sant.) D.J.Galloway & de Lange","Podostictina encoensis",
"Podostictina endochrysa","(Delise) D.J.Galloway & de Lange","Podostictina endochrysa",
"Podostictina flavicans","(Hook.f. & Taylor) B.Moncada & Lücking","Podostictina flavicans",
"Pseudocyphellaria flavicans","(Hook.f. & Taylor) Vain.","Podostictina flavicans",
"Sticta flavicans","Hook.f. & Taylor","Podostictina flavicans",
"Podostictina pickeringii","(Tuck.) B.Moncada & Lücking","Podostictina pickeringii",
"Pseudocyphellaria pickeringii","(Tuck.) D.J.Galloway","Podostictina pickeringii",
"Pseudocyphellaria argyracea","(Delise) Vain.","Pseudocyphellaria argyracea",
"Sticta argyracea","Delise","Pseudocyphellaria argyracea",
"Crocodia aurata","(Ach.) Link","Pseudocyphellaria aurata",
"Pseudocyphellaria aurata","(Ach.) Vain.","Pseudocyphellaria aurata","Pseudocyphellaria aurata"
"Sticta aurata","Ach.","Pseudocyphellaria aurata","Pseudocyphellaria aurata"
"Pseudocyphellaria bartlettii","D.J.Galloway","Pseudocyphellaria bartlettii",
"Pseudocyphellaria biliana","B.Moncada, Reidy & Lücking","Pseudocyphellaria biliana",
"Pseudocyphellaria carpoloma","(Delise) Vain.","Pseudocyphellaria carpoloma",
"Pseudocyphellaria citrina","(Gyeln.) Lücking, B.Moncada & S.Stenroos","Pseudocyphellaria citrina",
"Pseudocyphellaria clathrata","(De Not.) Malme","Pseudocyphellaria clathrata",
"Pseudocyphellaria confusa","B.Moncada, Reidy & Lücking","Pseudocyphellaria confusa",
"Pseudocyphellaria crocata","(L.) Vain.","Pseudocyphellaria crocata","Pseudocyphellaria crocata"
"Sticta crocata","(L.) Ach.","Pseudocyphellaria crocata","Pseudocyphellaria crocata"
"Stictina crocata","(L.) Nyl.","Pseudocyphellaria crocata",
"Pseudocyphellaria deyi","Lücking","Pseudocyphellaria deyi",
"Pseudocyphellaria dissimilis","(Nyl.) D.J.Galloway & P.James","Pseudocyphellaria dissimilis",
"Pseudocyphellaria endochrysea","","Pseudocyphellaria endochrysea",
"Pseudocyphellaria epiflavoides","(Gyeln.) Lücking, Farkas & Lőkös","Pseudocyphellaria epiflavoides",
"Pseudocyphellaria gallowayana","B.Moncada, Reidy & Lücking","Pseudocyphellaria gallowayana",
"Pseudocyphellaria gilva","(Ach.) Malme","Pseudocyphellaria gilva",
"Pseudocyphellaria glabra","(Hook.f. & Taylor) C.W.Dodge","Pseudocyphellaria glabra",
"Pseudocyphellaria hawaiiensis","H.Magn.","Pseudocyphellaria hawaiiensis",
"Pseudocyphellaria holarctica","McCune, Lücking & B.Moncada","Pseudocyphellaria holarctica",
"Pseudocyphellaria hookeri","(Church.Bab.) D.Galloway & James","Pseudocyphellaria hookeri",
"Pseudocyphellaria horridula","H.Magn.","Pseudocyphellaria horridula",
"Pseudocyphellaria intricata","(Delise) Vain.","Pseudocyphellaria intricata",
"Pseudocyphellaria macroisidiata","B.Moncada, Reidy & Lücking","Pseudocyphellaria macroisidiata",
"Pseudocyphellaria mallota","(Tuck.) H.Magn.","Pseudocyphellaria mallota","Pseudocyphellaria mallota"
"Pseudocyphellaria mougeotiana","(Delise) Vain.","Pseudocyphellaria mougeotiana","Pseudocyphellaria crocata"
"Sticta mougeotiana","Delise","Pseudocyphellaria mougeotiana",
"Pseudocyphellaria multifida","(Laurer ex Nyl.) D.J.Galloway & P.James","Pseudocyphellaria multifida",
"Pseudocyphellaria nitida","(Taylor) Malme","Pseudocyphellaria nitida",
"Pseudocyphellaria norvegica","(Gyeln.) P.James","Pseudocyphellaria norvegica",
"Pseudocyphellaria perpetua","McCune & Miądl.","Pseudocyphellaria perpetua","Pseudocyphellaria perpetua"
"Pseudocyphellaria philipiana","B.Moncada, Reidy & Lücking","Pseudocyphellaria philipiana",
"Pseudocyphellaria pomaikaiana","B.Moncada, Reidy & Lücking","Pseudocyphellaria pomaikaiana",
"Pseudocyphellaria punctata","Lücking & B.Moncada","Pseudocyphellaria punctata",
"Pseudocyphellaria rainierensis","Imsh.","Pseudocyphellaria rainierensis","Pseudocyphellaria rainierensis"
"Cyanisticta sandwicensis","(Zahlbr.) Gyeln.","Pseudocyphellaria sandwicensis",
"Pseudocyphellaria sandwicensis","(Zahlbr.) B.Moncada & Lücking","Pseudocyphellaria sandwicensis",
"Pseudocyphellaria thouarsii","(Delise) Degel.","Pseudocyphellaria thouarsii",
"Pseudocyphellaria xanthosticta","(Pers.) B.Moncada & Lücking","Pseudocyphellaria xanthosticta",
"Dendriscocaulon umhausense","(Auersw.) Degel.","Ricasolia amplissima","Dendriscocaulon umhausense"
"Lobaria amplissima","(Scop.) Forssell","Ricasolia amplissima",
"Ricasolia amplissima","(Scop.) De Not.","Ricasolia amplissima",
"Ricasolia amplissima ssp. sheiyi","Derr & Dillman","Ricasolia amplissima",
"Sticta amplissima","(Scop.) Rabenh.","Ricasolia amplissima",
"Lobaria quercizans","Michx.","Ricasolia quercizans","Lobaria quercizans"
"Ricasolia quercizans","(Michx.) Stizenb.","Ricasolia quercizans",
"Sticta quercizans","(Michx.) Ach.","Ricasolia quercizans",
"Stictina quercizans","(Michx.) Nyl.","Ricasolia quercizans",
"Lobaria laetevirens","(Lightf.) Zahlbr.","Ricasolia virens",
"Lobaria virens","(With.) J.R.Laundon","Ricasolia virens",
"Ricasolia virens","(With.) H.H.Blom & Tønsberg","Ricasolia virens",
"Sticta ambavillaria","(Bory) Ach.","Sticta ambavillaria",
"Sticta andina","B.Moncada, Lücking & Sérus.","Sticta andina",
"Sticta antoniana","B.Moncada & Lücking","Sticta antoniana",
"Sticta arctica","Degel.","Sticta arctica","Sticta arctica"
"Sticta babingtonii","D.J.Galloway, 1983","Sticta babingtonii",
"Sticta beauvoisii","Delise","Sticta beauvoisii","Sticta beauvoisii"
"Sticta weigelii var. beauvoisii","(Delise) Hue","Sticta beauvoisii",
"Sticta borinquensis","Merc.-Díaz & Lücking","Sticta borinquensis",
"Sticta canariensis","(Ach.) Bory","Sticta canariensis","Sticta canariensis"
"Sticta damaecornis","","Sticta canariensis",
"Sticta carolinensis","T.McDonald","Sticta carolinensis",
"Sticta cometia","Ach., 1803","Sticta cometia",
"Sticta cometiella","Vain., 1926","Sticta cometiella",
"Sticta corymbosa","Merc.-Díaz & Lücking","Sticta corymbosa",
"Sticta damicornis","Ach.","Sticta damicornis",
"Sticta dendroides","(Nyl.) B.Moncada, Lücking & de Lange","Sticta dendroides",
"Sticta densiphyllidiata","Merc.-Díaz & Lücking","Sticta densiphyllidiata",
"Sticta deyana","Lendemer & Goffinet","Sticta deyana",
"Sticta emmanueliana","B.Moncada, Lücking & Lumbsch","Sticta emmanueliana",
"Sticta ferax","Müll.Arg.","Sticta ferax",
"Sticta fragilinata","T.McDonald","Sticta fragilinata",
"Sticta fuliginoides","Magain & Sérus.","Sticta fuliginoides",
"Sticta fuliginosa","(With.) Ach.","Sticta fuliginosa","Sticta fuliginosa"
"Sticta gaudichaldia","Delise","Sticta gaudichaldia",
"Sticta globulifuliginosa","B.Moncada, A.Suárez & Lücking","Sticta globulifuliginosa",
"Sticta guilartensis","Merc.-Díaz & Lücking","Sticta guilartensis",
"Sticta gyalocarpa","(Nyl.) Trevis., 1869","Sticta gyalocarpa",
"Sticta harrisii","Merc.-Díaz, Moncada & Lücking","Sticta harrisii",
"Sticta hawaiiensis","B.Moncada & Lücking","Sticta hawaiiensis",
"Sticta howei","D.J.Galloway","Sticta howei",
"Sticta kunthii","Hook.","Sticta kunthii",
"Sticta laciniata","Ach., 1803","Sticta laciniata",
"Sticta laciniata var. laeviuscula","Nyl.","Sticta laciniata var. laeviuscula",
"Sticta leucoblephara","(Müll.Arg.) D.J.Galloway","Sticta leucoblephara",
"Sticta limbata","(Sm.) Ach.","Sticta limbata","Sticta limbata"
"Sticta mexicana","D.J.Galloway","Sticta mexicana",
"Sticta nashii","D.J.Galloway","Sticta nashii",
"Sticta orizabana","Nyl.","Sticta orizabana",
"Sticta parvilobata","Merc.-Díaz & Lücking","Sticta parvilobata",
"Sticta rhizinata","B.Moncada & Lücking","Sticta rhizinata",
"Sticta riparia","Merc.-Díaz & Lücking","Sticta riparia",
"Sticta scabrosa","B.Moncada, Merc.-Díaz & Bungartz","Sticta scabrosa",
"Sticta scabrosa ssp. hawaiiensis","B.Moncada, Lücking & C.W.Sm.","Sticta scabrosa",
"Sticta sinuosa","Pers.","Sticta sinuosa",
"Sticta swartzii","D.J.Galloway","Sticta swartzii",
"Sticta sylvatica","(Huds.) Ach.","Sticta sylvatica","Sticta sylvatica"
"Sticta tainorum","Merc.-Díaz & Lücking","Sticta tainorum",
"Sticta tomentella","(Nyl.) Nyl.","Sticta tomentella",
"Sticta tomentosa","(Swartz) Ach.","Sticta tomentosa",
"Sticta torii","Ant.Simon & Goward","Sticta torii",
"Sticta variabilis","Ach.","Sticta variabilis",
"Sticta weigelii","(Ach.) Vain.","Sticta weigelii",
"Sticta xanthotropa","(Kremp.) D.J.Galloway","Sticta xanthotropa",
"Yarrumia coronata","(Müll.Arg.) D.J.Galloway","Yarrumia coronata",
"Yoshimuriella carassensis","(Vain.) B.Moncada & Lücking","Yoshimuriella carassensis",
"Lobaria corrosa","(Ach.) Vain.","Yoshimuriella corrosa",
"Yoshimuriella corrosa","(Ach.) B.Moncada & Lücking","Yoshimuriella corrosa",
"Lobaria dissecta","(Sw.) Raeusch.","Yoshimuriella dissecta",
"Yoshimuriella dissecta","(Sw.) B.Moncada & Lücking","Yoshimuriella dissecta",
"Yoshimuriella fendleri","(Tuck. & Mont.) B.Moncada & Lücking","Yoshimuriella fendleri",
"Lobaria peltigera","Vain.","Yoshimuriella peltigera",
"Yoshimuriella peltigera","(Vain.) Lücking & B.Moncada","Yoshimuriella peltigera",
"Lobaria subcorrosa","(Nyl.) Vain.","Yoshimuriella subcorrosa",
"Yoshimuriella subcorrosa","(Nyl.) B.Moncada & Lücking","Yoshimuriella subcorrosa",
"Leptochidium albociliatum","(Desm.) M.Choisy","Leptochidium albociliatum","Leptochidium albociliatum"
"Leptogium albociliatum","Desm.","Leptochidium albociliatum","Leptochidium albociliatum"
"Polychidium albociliatum","(Desm.) Zahlbr.","Leptochidium albociliatum","Leptochidium albociliatum"
"Leptochidium crenatulum","(Nyl.) P.M.Jørg.","Leptochidium crenatulum",
"Massalongia carnosa","(Dicks.) Körb.","Massalongia carnosa","Massalongia carnosa"
"Massalongia microphylliza","(Nyl.) Henssen","Massalongia microphylliza","Massalongia microphylliza"
"Placynthium microphyllizum","(Nyl.) Hasse","Massalongia microphylliza","Massalongia microphylliza"
"Leptogium muscicola","(Sw.) Fr.","Polychidium muscicola",
"Polychidium muscicola","(Sw.) Gray","Polychidium muscicola","Polychidium muscicola"
"Nephroma arcticum","(L.) Torss.","Nephroma arcticum","Nephroma arcticum"
"Nephroma australe","A.Rich.","Nephroma australe",
"Nephroma bellum","(Spreng.) Tuck.","Nephroma bellum","Nephroma bellum"
"Nephroma expallidum","(Nyl.) Nyl.","Nephroma expallidum","Nephroma expallidum"
"Nephroma helveticum","Ach.","Nephroma helveticum","Nephroma helveticum"
"Nephroma helveticum ssp. helveticum","","Nephroma helveticum ssp. helveticum","Nephroma helveticum ssp. helveticum"
"Nephroma helveticum ssp. sipeanum","(Gyelnik) Goward & Ahti","Nephroma helveticum ssp. sipeanum","Nephroma helveticum ssp. sipeanum"
"Nephroma helveticum var. sipeanum","(Gyeln.) Goward & Ahti","Nephroma helveticum ssp. sipeanum","Nephroma helveticum ssp. sipeanum"
"Nephroma isidiosum","(Nyl.) Gyeln.","Nephroma isidiosum","Nephroma isidiosum"
"Nephroma laevigatum","Ach.","Nephroma laevigatum","Nephroma laevigatum"
"Nephroma lusitanicum","Schaer.","Nephroma laevigatum","Nephroma laevigatum"
"Nephroma occultum","Wetm.","Nephroma occultum","Nephroma occultum"
"Nephroma orvoi","Timdal, M.Westb., Haugan, Hofton, Holien, Speed, Tønsberg & Bendiksby","Nephroma orvoi",
"Nephroma laevigatum ssp. parile","(Ach.) Mudd","Nephroma parile",
"Nephroma parile","(Ach.) Ach.","Nephroma parile","Nephroma parile"
"Nephroma resupinatum","(L.) Ach.","Nephroma resupinatum","Nephroma resupinatum"
"Nephroma tomentosum","(Hoffm.) Flot.","Nephroma resupinatum",
"Nephroma rufum","(C.Bab.) P.James","Nephroma rufum",
"Nephroma tangeriense","(Maheu & A.Gillet) Gattefossé & Werner","Nephroma tangeriense",
"Nephroma tropicum","(Müll.Arg.) Zahlbr.","Nephroma tropicum",
"Atrophysma cyanomelanos","T.Sprib.","Atrophysma cyanomelanos",
"Degelia duplomarginata","(P.James & Henssen) Arv. & D.J.Galloway","Degelia duplomarginata",
"Degelia gayana","(Mont.) Arv. & D.J.Galloway","Degelia gayana",
"Erioderma leylandii","(Taylor) Müll.Arg.","Erioderma leylandii",
"Erioderma marcellii","P.M.Jørg. & Arv.","Erioderma marcellii",
"Erioderma mollissimum","(G.Sampaio) Du Rietz","Erioderma mollissimum","Erioderma mollissimum"
"Erioderma papyraceum","P.M.Jørg. & Arv.","Erioderma papyraceum",
"Erioderma pedicellatum","(Hue) P.M.Jørg.","Erioderma pedicellatum","Erioderma pedicellatum"
"Erioderma physcioides","Vainio","Erioderma physcioides",
"Erioderma polycarpum","Fée","Erioderma polycarpum",
"Erioderma pulchrum","Müll.Arg.","Erioderma pulchrum",
"Erioderma sorediatum","D.J.Galloway & P.M.Jørg.","Erioderma sorediatum","Erioderma sorediatum"
"Erioderma tomentosum","Hue","Erioderma tomentosum",
"Erioderma unguigerum","(Bory) Nyl.","Erioderma unguigerum",
"Erioderma wrightii","Tuck.","Erioderma wrightii",
"Fuscopannaria abscondita","P.M.Jørg.","Fuscopannaria abscondita",
"Fuscopannaria ahlneri","(P.M.Jørg.) P.M.Jørg.","Fuscopannaria ahlneri","Fuscopannaria ahlneri"
"Fuscopannaria alaskana","P.M.Jørg. & Tønsberg","Fuscopannaria alaskana",
"Fuscopannaria aurita","P.M.Jørg.","Fuscopannaria aurita",
"Fuscopannaria cheiroloba","(Müll.Arg.) P.M.Jørg.","Fuscopannaria cheiroloba",
"Parmeliella cheiroloba","Müll.Arg.","Fuscopannaria cheiroloba","Pannaria cheiroloba"
"Fuscopannaria confusa","(P.M.Jørg.) P.M.Jørg.","Fuscopannaria confusa",
"Fuscopannaria convexa","P.M.Jørg.","Fuscopannaria convexa",
"Fuscopannaria coralloidea","P.M.Jørg.","Fuscopannaria coralloidea",
"Fuscopannaria crustacea","P.M.Jørg.","Fuscopannaria crustacea",
"Fuscopannaria cyanolepra","(Tuck.) P.M.Jørg.","Fuscopannaria cyanolepra",
"Pannaria cyanolepra","Tuck.","Fuscopannaria cyanolepra",
"Parmeliella cyanolepra","(Tuck.) Herre","Fuscopannaria cyanolepra","Parmeliella cyanolepra"
"Fuscopannaria frullaniae","(Maass) E.Tripp & Lendemer","Fuscopannaria frullaniae",
"Coccocarpia incisa","Pers.","Fuscopannaria incisa","Coccocarpia erythroxyli"
"Fuscopannaria incisa","(Pers.) P.M.Jørg.","Fuscopannaria incisa",
"Fuscopannaria leprosa","P.M.Jørg. & Tønsberg","Fuscopannaria leprosa",
"Fuscopannaria leucosticta","(Tuck. ex E.Michener) P.M.Jørg.","Fuscopannaria leucosticta","Fuscopannaria leucosticta"
