"family","genus","ac"
"Cupressaceae","Metasequoia",TRUE
"Cupressaceae","Microbiota",TRUE
"Cupressaceae","Neocallitropsis",TRUE
"Cupressaceae","Pilgerodendron",TRUE
"Cupressaceae","Platycladus",TRUE
"Cupressaceae","Sequoia",TRUE
"Cupressaceae","Sequoiadendron",TRUE
"Cupressaceae","Taiwania",TRUE
"Cupressaceae","Taxodium",TRUE
"Cupressaceae","Tetraclinis",TRUE
"Cupressaceae","Thuja",TRUE
"Cupressaceae","Thujopsis",TRUE
"Cupressaceae","Widdringtonia",TRUE
"Amborellaceae","Amborella",TRUE
"Hydatellaceae","Hydatella",TRUE
"Hydatellaceae","Trithuria",TRUE
"Cabombaceae","Brasenia",TRUE
"Cabombaceae","Cabomba",TRUE
"Nymphaeaceae","Barclaya",TRUE
"Nymphaeaceae","Euryale",TRUE
"Nymphaeaceae","Nuphar",TRUE
"Nymphaeaceae","Nymphaea",TRUE
"Nymphaeaceae","Victoria",TRUE
"Austrobaileyaceae","Austrobaileya",TRUE
"Trimeniaceae","Trimenia",TRUE
"Schisandraceae","Illicium",TRUE
"Schisandraceae","Kadsura",TRUE
"Schisandraceae","Schisandra",TRUE
"Canellaceae","Canella",TRUE
"Canellaceae","Cinnamodendron",TRUE
"Canellaceae","Cinnamosma",TRUE
"Canellaceae","Pleodendron",TRUE
"Canellaceae","Warburgia",TRUE
"Winteraceae","Drimys",TRUE
"Winteraceae","Pseudowintera",TRUE
"Winteraceae","Takhtajania",TRUE
"Winteraceae","Zygogynum",TRUE
"Saururaceae","Anemopsis",TRUE
"Saururaceae","Gymnotheca",TRUE
"Saururaceae","Houttuynia",TRUE
"Saururaceae","Saururus",TRUE
"Piperaceae","Manekia",TRUE
"Piperaceae","Peperomia",TRUE
"Piperaceae","Piper",TRUE
"Piperaceae","Piperanthera",TRUE
"Piperaceae","Verhuellia",TRUE
"Piperaceae","Zippelia",TRUE
"Aristolochiaceae","Aristolochia",TRUE
"Aristolochiaceae","Asarum",TRUE
"Aristolochiaceae","Endodeca",TRUE
"Aristolochiaceae","Hexastylis",TRUE
"Aristolochiaceae","Hydnora",TRUE
"Aristolochiaceae","Isotrema",TRUE
"Aristolochiaceae","Lactoris",TRUE
"Aristolochiaceae","Prosopanche",TRUE
"Aristolochiaceae","Saruma",TRUE
"Aristolochiaceae","Thottea",TRUE
"Myristicaceae","Bicuiba",TRUE
"Myristicaceae","Brochoneura",TRUE
"Myristicaceae","Cephalosphaera",TRUE
"Myristicaceae","Coelocaryon",TRUE
"Myristicaceae","Compsoneura",TRUE
"Myristicaceae","Endocomia",TRUE
"Myristicaceae","Gymnacranthera",TRUE
"Myristicaceae","Haematodendron",TRUE
"Myristicaceae","Horsfieldia",TRUE
"Myristicaceae","Iryanthera",TRUE
"Myristicaceae","Knema",TRUE
"Myristicaceae","Mauloutchia",TRUE
"Myristicaceae","Myristica",TRUE
"Myristicaceae","Osteophloeum",TRUE
"Myristicaceae","Otoba",TRUE
"Myristicaceae","Paramyristica",TRUE
"Myristicaceae","Pycnanthus",TRUE
"Myristicaceae","Scyphocephalium",TRUE
"Myristicaceae","Staudtia",TRUE
"Myristicaceae","Virola",TRUE
"Magnoliaceae","Liriodendron",TRUE
"Magnoliaceae","Magnolia",TRUE
"Degeneriaceae","Degeneria",TRUE
"Himantandraceae","Galbulimima",TRUE
"Eupomatiaceae","Eupomatia",TRUE
"Annonaceae","Afroguatteria",TRUE
"Annonaceae","Alphonsea",TRUE
"Annonaceae","Ambavia",TRUE
"Annonaceae","Anaxagorea",TRUE
"Annonaceae","Annickia",TRUE
"Annonaceae","Annona",TRUE
