"family","genus","type"
"Verrucariaceae","Verruculopsis","lichen"
"Verrucariaceae","Wahlenbergiella","lichen"
"Verrucariaceae","Willeya","lichen"
"Arthrorhaphidaceae","Arthrorhaphis","lichen"
"Acarosporaceae","Acarospora","lichen"
"Acarosporaceae","Caeruleum","lichen"
"Acarosporaceae","Glypholecia","lichen"
"Acarosporaceae","Myriospora","lichen"
"Acarosporaceae","Pleopsidium","lichen"
"Acarosporaceae","Polysporina","lichen"
"Acarosporaceae","Polysporinopsis","lichen"
"Acarosporaceae","Sarcogyne","lichen"
"Acarosporaceae","Silobia","lichen"
"Acarosporaceae","Timdalia","lichen"
"Acarosporaceae","Trimmatothelopsis","lichen"
"Arctomiaceae","Arctomia","lichen"
"Arctomiaceae","Gregorella","lichen"
"Baeomycetaceae","Ainoa","lichen"
"Baeomycetaceae","Anamylopsora","lichen"
"Baeomycetaceae","Baeomyces","lichen"
"Baeomycetaceae","Phyllobaeis","lichen"
"Trapeliaceae","Farkasiella","lichen"
"Trapeliaceae","Gallowayiopsis","lichen"
"Trapeliaceae","Kleopowiella","lichen"
"Trapeliaceae","Trapejamesia","lichen"
"Xylographaceae","Brianiopsis","lichen"
"Xylographaceae","Spiloma","lichen"
"Xylographaceae","Xyloelixia","lichen"
"Caliciaceae","Acolium","lichen"
"Caliciaceae","Acroscyphus","lichen"
"Caliciaceae","Allocalicium","lichen"
"Caliciaceae","Amandinea","lichen"
"Caliciaceae","Baculifera","lichen"
"Caliciaceae","Buellia","lichen"
"Caliciaceae","Calicium","lichen"
"Caliciaceae","Chrismofulvea","lichen"
"Caliciaceae","Ciposia","lichen"
"Caliciaceae","Cratiria","lichen"
"Caliciaceae","Dermiscellum","lichen"
"Caliciaceae","Dimelaena","lichen"
"Caliciaceae","Diploicia","lichen"
"Caliciaceae","Diplotomma","lichen"
"Caliciaceae","Dirinaria","lichen"
"Caliciaceae","Endohyalina","lichen"
"Caliciaceae","Gassicurtia","lichen"
"Caliciaceae","Hafellia","lichen"
"Caliciaceae","Monerolechia","lichen"
"Caliciaceae","Orcularia","lichen"
"Caliciaceae","Pseudothelomma","lichen"
"Caliciaceae","Pyxine","lichen"
"Caliciaceae","Sculptolumina","lichen"
"Caliciaceae","Stigmatochroma","lichen"
"Caliciaceae","Tetramelas","lichen"
"Caliciaceae","Texosporium","lichen"
"Caliciaceae","Thelomma","lichen"
"Caliciaceae","Tholurna","lichen"
"Physciaceae","Anaptychia","lichen"
"Physciaceae","Culbersonia","lichen"
"Physciaceae","Helmutiopsis","lichen"
"Physciaceae","Heterodermia","lichen"
"Physciaceae","Huriopsis","lichen"
"Physciaceae","Hyperphyscia","lichen"
"Physciaceae","Johnsheardia","lichen"
"Physciaceae","Kashiwadia","lichen"
"Physciaceae","Klauskalbia","lichen"
"Physciaceae","Kudratovia","lichen"
"Physciaceae","Kurokawia","lichen"
"Physciaceae","Leucodermia","lichen"
"Physciaceae","Mischoblastia","lichen"
"Physciaceae","Mobergia","lichen"
"Physciaceae","Oxnerella","lichen"
"Physciaceae","Phaeophyscia","lichen"
"Physciaceae","Phaeorrhiza","lichen"
"Physciaceae","Physcia","lichen"
"Physciaceae","Physciella","lichen"
"Physciaceae","Physconia","lichen"
"Physciaceae","Poeltonia","lichen"
"Physciaceae","Polyblastidium","lichen"
